,truck_id,route_id,departure_date,estimated_arrival,delay,route_avg_temp,route_avg_wind_speed,route_avg_humidity,route_avg_pressure,route_avg_precip,route_avg_visibility,route_description,estimated_arrival_nearest_hour,departure_date_nearest_hour,origin_id,destination_id,distance,average_hours,origin_temp,origin_wind_speed,origin_description,origin_precip,origin_humidity,origin_visibility,origin_pressure,dest_temp,dest_wind_speed,dest_description,dest_precip,dest_humidity,dest_visibility,dest_pressure,avg_no_of_vehicles,accident,truck_age,load_capacity_pounds,mileage_mpg,fuel_type,driver_id,name,gender,age,experience,driving_style,ratings,vehicle_no,average_speed_mph,is_midnight,unique_id
0,18663378,R-d5d0786c,2019-01-13 07:00:00,2019-01-13 14:37:12,0,63.333333333333336,10.0,91.0,1014.0,0.0,6.0,Clear,2019-01-13 15:00:00,2019-01-13 07:00:00,C-280b55fb,C-9bbf5d8a,380.84,7.62,23.0,4.0,Cloudy,0.0,92.0,6.0,1032.0,32.0,9.0,Overcast,0.0,91.0,6.0,1022.0,2269.125,0.0,11.0,6000.0,25.0,diesel,9f19a100-6,James Kelley,male,56.0,30.0,proactive,9.0,18663378.0,60.29,0,1
1,23496767,R-6717548a,2019-01-04 07:00:00,2019-01-04 11:36:00,0,45.5,7.5,53.5,1025.5,0.0,6.0,Clear,2019-01-04 12:00:00,2019-01-04 07:00:00,C-b5282c3b,C-e5bfb4e5,229.76,4.6,34.0,11.0,Sunny,0.0,81.0,6.0,1010.0,34.0,8.0,Mist,0.0,95.0,1.0,1008.0,2194.2,0.0,10.0,4000.0,24.0,diesel,cff19411-5,Scott Lucas,male,50.0,11.0,proactive,5.0,23496767.0,63.0,0,2
2,32898016,R-c9bd5880,2019-01-25 07:00:00,2019-01-25 16:52:12,1,32.333333333333336,10.333333333333334,75.66666666666667,1015.0,0.0,4.333333333333333,Moderate snow,2019-01-25 17:00:00,2019-01-25 07:00:00,C-ef47bdcd,C-e6dcda92,493.44,9.87,16.0,9.0,Sunny,0.0,67.0,6.0,1029.0,25.0,11.0,Patchy light snow,0.0,82.0,6.0,1022.0,2129.5,0.0,14.0,6000.0,17.0,gas,3803b114-1,Brandon Allen,male,48.0,10.0,conservative,2.0,32898016.0,48.17,0,3
3,28188509,R-272a3bd5,2019-01-11 07:00:00,2019-01-12 16:22:12,1,70.5,2.0,85.25,1014.25,0.0,6.0,Clear,2019-01-12 16:00:00,2019-01-11 07:00:00,C-ef47bdcd,C-56e39a5e,1668.64,33.37,28.0,7.0,Heavy snow,0.0,85.0,1.0,1017.0,81.0,6.0,Sunny,0.0,59.0,6.0,1014.0,258.8125,0.0,10.0,6000.0,25.0,diesel,6621c3cd-7,Kristopher Rivera,male,38.0,4.0,proactive,7.0,28188509.0,66.48,1,4
4,80740040,R-abc9e78b,2019-01-28 07:00:00,2019-01-29 05:28:12,1,50.0,1.8,77.8,1016.0,0.0,3.6,Partly cloudy,2019-01-29 05:00:00,2019-01-28 07:00:00,C-2aaf0e1a,C-2c9e75ef,1123.72,22.47,14.0,2.0,Sunny,0.0,82.0,6.0,1021.0,30.0,4.0,Clear,0.0,49.0,6.0,1028.0,1808.8572,0.0,12.0,15000.0,21.0,diesel,2a80835e-b,Jonathan Ramirez,male,42.0,10.0,conservative,7.0,80740040.0,47.41,1,5
5,12283835,R-4dab4344,2019-01-31 07:00:00,2019-02-01 12:51:36,0,42.857142857142854,8.428571428571429,74.71428571428571,1020.0,0.0,6.0,Sunny,2019-02-01 13:00:00,2019-01-31 07:00:00,C-c92599e2,C-9bbf5d8a,1493.09,29.86,68.0,3.0,Mist,0.0,90.0,3.0,1018.0,79.0,6.0,Patchy rain possible,0.0,44.0,6.0,1016.0,1738.3793,0.0,10.0,15000.0,16.0,gas,1165e515-e,Joshua Schwartz,male,55.0,17.0,proactive,4.0,12283835.0,59.69,1,6
6,24859831,R-c6fece3d,2019-02-06 07:00:00,2019-02-06 16:30:36,0,37.0,12.666666666666666,84.66666666666667,1008.3333333333334,0.0,5.666666666666667,Overcast,2019-02-06 17:00:00,2019-02-06 07:00:00,C-2bd47dc5,C-280b55fb,475.27,9.51,36.0,4.0,Overcast,0.0,70.0,6.0,1024.0,48.0,4.0,Fog,0.0,96.0,2.0,1014.0,2174.889,0.0,10.0,4000.0,22.0,diesel,fbe87551-e,Luke Kennedy,male,42.0,2.0,proactive,7.0,24859831.0,60.48,0,7
7,27381592,R-014ee0d4,2019-02-12 07:00:00,2019-02-12 11:43:48,0,56.5,8.0,54.5,1015.5,0.0,5.5,Patchy rain possible,2019-02-12 12:00:00,2019-02-12 07:00:00,C-e5bfb4e5,C-594514f8,236.63,4.73,25.0,12.0,Heavy snow,0.0,95.0,1.0,1010.0,34.0,11.0,Overcast,0.0,99.0,6.0,1001.0,147.8,0.0,6.0,15000.0,14.0,gas,5a450fab-c,Robert Silva,male,44.0,11.0,conservative,8.0,27381592.0,43.81,0,8
8,79540804,R-f184276f,2019-01-25 07:00:00,2019-01-25 16:52:48,0,65.33333333333333,4.333333333333333,36.0,1019.3333333333334,0.0,6.0,Sunny,2019-01-25 17:00:00,2019-01-25 07:00:00,C-7212cebe,C-280b55fb,494.1,9.88,-8.0,2.0,Partly cloudy,0.0,90.0,6.0,1026.0,3.0,7.0,Light snow,0.0,91.0,6.0,1024.0,2169.3,0.0,10.0,3000.0,24.0,diesel,09fc5c5e-3,Robert Johnston,male,58.0,21.0,conservative,9.0,79540804.0,52.25,0,9
9,88231513,R-eba11085,2019-01-25 07:00:00,2019-01-25 16:51:36,0,64.33333333333333,14.0,78.33333333333333,1021.0,0.0,6.0,Cloudy,2019-01-25 17:00:00,2019-01-25 07:00:00,C-c4565ee8,C-56b68559,493.17,9.86,9.0,14.0,Patchy light snow,0.0,75.0,6.0,1024.0,-2.0,4.0,Sunny,0.0,81.0,6.0,1026.0,2322.4,0.0,6.0,3000.0,17.0,gas,9e0b82cf-e,David Morales DVM,male,48.0,12.0,conservative,6.0,88231513.0,39.22,0,10
